Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2024,Angels,101,100,101,100,97,100,107,102,101,99,99,102,93,101
2024,Orioles,100,99,98,104,95,102,96,98,98,100,100,101,99,100
2024,Red Sox,105,103,102,104,110,116,99,98,101,104,98,101,101,101
2024,White Sox,101,99,97,100,96,84,106,99,102,99,104,99,103,103
2024,Guardians,99,100,105,100,101,89,98,101,101,101,96,99,96,99
2024,Tigers,100,102,99,100,100,123,93,98,102,100,101,101,108,99
2024,Royals,104,104,106,105,109,116,95,96,101,104,101,107,98,99
2024,Twins,100,103,103,99,104,94,99,101,102,99,102,97,103,100
2024,Yankees,99,99,101,98,97,85,107,101,100,98,104,98,102,102
2024,Athletics,96,97,100,100,100,100,90,100,100,100,100,101,101,97
2024,Mariners,93,92,89,96,93,79,97,103,97,98,99,96,106,96
2024,Rays,96,98,100,96,98,102,96,102,101,97,99,96,100,97
2024,Rangers,99,98,93,99,100,98,104,101,101,99,103,99,96,101
2024,Blue Jays,100,100,103,99,103,91,100,100,98,100,100,102,100,101
2024,Diamondbacks,101,101,104,104,105,118,91,99,100,103,98,104,95,97
2024,Braves,100,99,97,102,98,102,98,102,100,101,98,100,94,98
2024,Cubs,98,95,87,100,95,110,98,101,98,100,97,101,99,98
2024,Reds,104,102,107,101,101,84,118,102,102,99,101,101,110,105
2024,Rockies,113,113,108,108,110,135,107,96,100,107,97,109,93,105
2024,Marlins,102,104,113,102,103,106,98,100,101,101,100,101,98,100
2024,Astros,100,100,102,98,99,109,100,101,99,99,96,102,99,100
2024,Dodgers,99,99,97,97,97,85,108,100,96,97,101,97,98,103
2024,Brewers,98,97,98,97,96,102,105,103,102,96,102,97,103,100
2024,Nationals,100,101,99,99,99,92,100,98,98,100,102,98,100,101
2024,Mets,96,97,98,96,95,86,99,102,103,97,100,96,108,99
2024,Phillies,101,103,101,98,97,104,105,100,100,99,100,100,104,102
2024,Pirates,102,102,104,103,105,96,94,97,102,102,102,102,96,100
2024,Cardinals,98,101,98,101,97,93,95,97,98,101,101,99,102,98
2024,Padres,96,97,99,97,96,81,102,102,99,98,100,98,104,99
2024,Giants,97,95,97,101,103,112,91,98,98,103,97,97,93,96
